bcell_id	h_age	new_h_age
2109396	Adult	adult
2109532	Adult	adult
2109533	Adult	adult
2109534	Adult	adult
2109535	Adult	adult
2109536	Adult	adult
2109537	Adult	adult
2109538	Adult	adult
2109404	Adult	adult
2109405	Adult	adult
2109541	Adult	adult
2109542	Adult	adult
2109543	Adult	adult
2109544	Adult	adult
2109545	Adult	adult
2109546	Adult	adult
2109547	Adult	adult
2109551	Adult	adult
2109552	Adult	adult
2109553	Adult	adult
2109554	Adult	adult
2109555	Adult	adult
2109556	Adult	adult
2109557	Adult	adult
2109558	Adult	adult
2109694	Adult	adult
2109562	Adult	adult
2109563	Adult	adult
2109564	Adult	adult
2109565	Adult	adult
2109566	Adult	adult
2109567	Adult	adult
2109703	Adult	adult
2109704	Adult	adult
2109705	Adult	adult
2109570	Adult	adult
2109571	Adult	adult
2109572	Adult	adult
2109573	Adult	adult
2109574	Adult	adult
2109575	Adult	adult
2109576	Adult	adult
2109712	Adult	adult
2109713	Adult	adult
2475628	6 to 8 weeks	6-8 weeks
2475629	6 to 8 weeks	6-8 weeks
2475624	6 to 8 weeks	6-8 weeks
2109506	Adult	adult
2109507	Adult	adult
2109508	Adult	adult
2109509	Adult	adult
2109510	Adult	adult
2109511	Adult	adult
2109512	Adult	adult
2109513	Adult	adult
2109649	Adult	adult
2109516	Adult	adult
2109517	Adult	adult
2109518	Adult	adult
2109519	Adult	adult
2109520	Adult	adult
2109521	Adult	adult
2109522	Adult	adult
2109658	Adult	adult
2109659	Adult	adult
2109527	Adult	adult
2109528	Adult	adult
2109529	Adult	adult
2109530	Adult	adult
2109531	Adult	adult
2109667	Adult	adult
2109668	Adult	adult
2109669	Adult	adult
2109670	Adult	adult
2109539	Adult	adult
2109540	Adult	adult
2109676	Adult	adult
2109677	Adult	adult
2109678	Adult	adult
2109679	Adult	adult
2109680	Adult	adult
2109681	Adult	adult
2109682	Adult	adult
2109548	Adult	adult
2109549	Adult	adult
2109685	Adult	adult
2109686	Adult	adult
2109687	Adult	adult
2109688	Adult	adult
2109689	Adult	adult
2109690	Adult	adult
2109691	Adult	adult
2109695	Adult	adult
2109696	Adult	adult
2109697	Adult	adult
2109698	Adult	adult
2109699	Adult	adult
2109700	Adult	adult
2109701	Adult	adult
2109702	Adult	adult
2109706	Adult	adult
2109707	Adult	adult
2109708	Adult	adult
2109709	Adult	adult
2109710	Adult	adult
2109711	Adult	adult
2106046	7 to 8 weeks	7-8 weeks
2109714	Adult	adult
2109715	Adult	adult
2109716	Adult	adult
2109717	Adult	adult
2109718	Adult	adult
2109719	Adult	adult
2109720	Adult	adult
2475630	6 to 8 weeks	6-8 weeks
2475631	6 to 8 weeks	6-8 weeks
2478760	22 to 31 years	22-31 years
2109650	Adult	adult
2109651	Adult	adult
2109652	Adult	adult
2109653	Adult	adult
2109654	Adult	adult
2109655	Adult	adult
2109656	Adult	adult
2109657	Adult	adult
2109660	Adult	adult
2109661	Adult	adult
2109662	Adult	adult
2109663	Adult	adult
2109664	Adult	adult
2109665	Adult	adult
2109666	Adult	adult
2109671	Adult	adult
2109672	Adult	adult
2109673	Adult	adult
2109674	Adult	adult
2109675	Adult	adult
2109683	Adult	adult
2109684	Adult	adult
2109692	Adult	adult
2109693	Adult	adult
2106038	7 to 8 weeks	7-8 weeks
2106044	7 to 8 weeks	7-8 weeks
2106045	7 to 8 weeks	7-8 weeks
2109856	Adult	adult
2109857	Adult	adult
2106047	7 to 8 weeks	7-8 weeks
2106048	7 to 8 weeks	7-8 weeks
2106049	7 to 8 weeks	7-8 weeks
2109865	Adult	adult
2103701	4 to 6 years	4-6 years
2475633	6 to 8 weeks	6-8 weeks
2109811	Adult	adult
2109812	Adult	adult
2109820	Adult	adult
2109822	Adult	adult
2109829	Adult	adult
2109830	Adult	adult
2109831	Adult	adult
2109832	Adult	adult
2109838	Adult	adult
2109839	Adult	adult
2109840	Adult	adult
2109841	Adult	adult
2109842	Adult	adult
2109843	Adult	adult
2109844	Adult	adult
2109845	Adult	adult
2109847	Adult	adult
2109848	Adult	adult
2109849	Adult	adult
2109850	Adult	adult
2109851	Adult	adult
2109852	Adult	adult
2109853	Adult	adult
2109854	Adult	adult
2109858	Adult	adult
2109859	Adult	adult
2109860	Adult	adult
2109861	Adult	adult
2109862	Adult	adult
2109863	Adult	adult
2109864	Adult	adult
2110000	Adult	adult
2110001	Adult	adult
2109866	Adult	adult
2109867	Adult	adult
2109868	Adult	adult
2109869	Adult	adult
2109870	Adult	adult
2109871	Adult	adult
2109872	Adult	adult
2109873	Adult	adult
2110009	Adult	adult
2129907	48.6 +/- 13.5 years	48.6 ± 13.5 years
2129908	66.6 +/- 7.4 years	66.6 ± 7.4 years
2129909	48 +/- 12 years	48 ± 12 years
2129910	48.6 +/- 13.5 years	48.6 ± 13.5 years
2129911	66.6 +/- 7.4 years	66.6 ± 7.4 years
2129912	48 +/- 12 years	48 ± 12 years
2129913	48.6 +/- 13.5 years	48.6 ± 13.5 years
2129914	66.6 +/- 7.4 years	66.6 ± 7.4 years
2129915	48 +/- 12 years	48 ± 12 years
2129916	48.6 +/- 13.5 years	48.6 ± 13.5 years
2109813	Adult	adult
2109814	Adult	adult
2109815	Adult	adult
2109816	Adult	adult
2109817	Adult	adult
2109818	Adult	adult
2109819	Adult	adult
2109955	Adult	adult
2109956	Adult	adult
2109823	Adult	adult
2109824	Adult	adult
2109825	Adult	adult
2109826	Adult	adult
2109827	Adult	adult
2109828	Adult	adult
2109964	Adult	adult
2109965	Adult	adult
2109966	Adult	adult
2109833	Adult	adult
2109834	Adult	adult
2109835	Adult	adult
2109836	Adult	adult
2109837	Adult	adult
2109973	Adult	adult
2109974	Adult	adult
2109975	Adult	adult
2109976	Adult	adult
2109846	Adult	adult
2109982	Adult	adult
2109983	Adult	adult
2109984	Adult	adult
2109985	Adult	adult
2109986	Adult	adult
2109987	Adult	adult
2109988	Adult	adult
2109989	Adult	adult
2109855	Adult	adult
2109991	Adult	adult
2109992	Adult	adult
2109993	Adult	adult
2109994	Adult	adult
2109995	Adult	adult
2109996	Adult	adult
2109997	Adult	adult
2109998	Adult	adult
2110002	Adult	adult
2110003	Adult	adult
2110004	Adult	adult
2110005	Adult	adult
2110006	Adult	adult
2110007	Adult	adult
2110008	Adult	adult
2110010	Adult	adult
2129917	66.6 +/- 7.4 years	66.6 ± 7.4 years
2129918	48 +/- 12 years	48 ± 12 years
2129919	48.6 +/- 13.5 years	48.6 ± 13.5 years
2129920	66.6 +/- 7.4 years	66.6 ± 7.4 years
2484800	6 to 8 weeks	6-8 weeks
2484802	6 to 8 weeks	6-8 weeks
2484803	6 to 8 weeks	6-8 weeks
2484805	6 to 8 weeks	6-8 weeks
2484806	6 to 8 weeks	6-8 weeks
2484807	6 to 8 weeks	6-8 weeks
2484808	6 to 8 weeks	6-8 weeks
2475902	6 to 8 weeks	6-8 weeks
2475626	6 to 8 weeks	6-8 weeks
2475627	6 to 8 weeks	6-8 weeks
2119661	23 to 89 years	23-89 years
2119701	23 to 89 years	23-89 years
2110431	> 12 weeks	>12 weeks
2110432	> 12 weeks	>12 weeks
2110433	> 12 weeks	>12 weeks
2110434	> 12 weeks	>12 weeks
2110435	> 12 weeks	>12 weeks
2110436	> 12 weeks	>12 weeks
2110437	> 12 weeks	>12 weeks
2475634	6 to 8 weeks	6-8 weeks
2475635	6 to 8 weeks	6-8 weeks
2475636	6 to 8 weeks	6-8 weeks
2475637	6 to 8 weeks	6-8 weeks
2475632	6 to 8 weeks	6-8 weeks
2103679	6 to 8 weeks	6-8 weeks
2115632	8 to 12 weeks	8-12 weeks
2115633	8 to 12 weeks	8-12 weeks
2475639	6 to 8 weeks	6-8 weeks
2475640	6 to 8 weeks	6-8 weeks
2475641	6 to 8 weeks	6-8 weeks
2475642	6 to 8 weeks	6-8 weeks
2475657	6 to 8 weeks	6-8 weeks
2475643	6 to 8 weeks	6-8 weeks
2475644	6 to 8 weeks	6-8 weeks
2475645	6 to 8 weeks	6-8 weeks
2105514	8 to 10 weeks	8-10 weeks
2105515	8 to 10 weeks	8-10 weeks
2105516	8 to 10 weeks	8-10 weeks
2105517	8 to 10 weeks	8-10 weeks
2119839	8 to 12 weeks	8-12 weeks
2119840	8 to 12 weeks	8-12 weeks
2119841	8 to 12 weeks	8-12 weeks
2119842	8 to 12 weeks	8-12 weeks
2119791	8 to 12 weeks	8-12 weeks
2119785	8 to 12 weeks	8-12 weeks
2475659	6 to 8 weeks	6-8 weeks
2475660	6 to 8 weeks	6-8 weeks
2475661	6 to 8 weeks	6-8 weeks
2475662	6 to 8 weeks	6-8 weeks
2475646	6 to 8 weeks	6-8 weeks
2475647	6 to 8 weeks	6-8 weeks
2475648	6 to 8 weeks	6-8 weeks
2475649	6 to 8 weeks	6-8 weeks
2475664	6 to 8 weeks	6-8 weeks
2475665	6 to 8 weeks	6-8 weeks
2475650	6 to 8 weeks	6-8 weeks
2475666	6 to 8 weeks	6-8 weeks
2475701	6 to 8 weeks	6-8 weeks
2475702	6 to 8 weeks	6-8 weeks
2475667	6 to 8 weeks	6-8 weeks
2475668	6 to 8 weeks	6-8 weeks
2475669	6 to 8 weeks	6-8 weeks
2475670	6 to 8 weeks	6-8 weeks
2475671	6 to 8 weeks	6-8 weeks
2475672	6 to 8 weeks	6-8 weeks
2475651	6 to 8 weeks	6-8 weeks
2119568	23 to 89 years	23-89 years
2105138	4 to 6 weeks	4-6 weeks
2105139	4 to 6 weeks	4-6 weeks
2103852	9 to 12 weeks	9-12 weeks
2103853	9 to 12 weeks	9-12 weeks
2103854	9 to 12 weeks	9-12 weeks
2103855	9 to 12 weeks	9-12 weeks
2475703	6 to 8 weeks	6-8 weeks
2475704	6 to 8 weeks	6-8 weeks
2475705	6 to 8 weeks	6-8 weeks
2475673	6 to 8 weeks	6-8 weeks
2475652	6 to 8 weeks	6-8 weeks
2119569	23 to 89 years	23-89 years
2119570	23 to 89 years	23-89 years
2103836	9 to 12 weeks	9-12 weeks
2103837	9 to 12 weeks	9-12 weeks
2105322	6 to 8 weeks	6-8 weeks
2105324	6 to 8 weeks	6-8 weeks
2105325	6 to 8 weeks	6-8 weeks
2475698	6 to 8 weeks	6-8 weeks
2110430	> 12 weeks	>12 weeks
2475653	6 to 8 weeks	6-8 weeks
2110374	> 12 weeks	>12 weeks
2110375	> 12 weeks	>12 weeks
2110376	> 12 weeks	>12 weeks
2110377	> 12 weeks	>12 weeks
2110382	> 12 weeks	>12 weeks
2110383	> 12 weeks	>12 weeks
2110384	> 12 weeks	>12 weeks
2110385	> 12 weeks	>12 weeks
2110386	> 12 weeks	>12 weeks
2110387	> 12 weeks	>12 weeks
2110388	> 12 weeks	>12 weeks
2110389	> 12 weeks	>12 weeks
2103838	9 to 12 weeks	9-12 weeks
2103839	9 to 12 weeks	9-12 weeks
2103840	9 to 12 weeks	9-12 weeks
2103841	9 to 12 weeks	9-12 weeks
2103842	9 to 12 weeks	9-12 weeks
2110378	> 12 weeks	>12 weeks
2110379	> 12 weeks	>12 weeks
2110380	> 12 weeks	>12 weeks
2110381	> 12 weeks	>12 weeks
2110390	> 12 weeks	>12 weeks
2110391	> 12 weeks	>12 weeks
2110392	> 12 weeks	>12 weeks
2110393	> 12 weeks	>12 weeks
2110394	> 12 weeks	>12 weeks
2110395	> 12 weeks	>12 weeks
2110396	> 12 weeks	>12 weeks
2110397	> 12 weeks	>12 weeks
2110398	> 12 weeks	>12 weeks
2110399	> 12 weeks	>12 weeks
2110400	> 12 weeks	>12 weeks
2110401	> 12 weeks	>12 weeks
2103843	9 to 12 weeks	9-12 weeks
2103844	9 to 12 weeks	9-12 weeks
2103848	9 to 12 weeks	9-12 weeks
2475708	6 to 8 weeks	6-8 weeks
2119778	8 to 12 weeks	8-12 weeks
2119779	8 to 12 weeks	8-12 weeks
2119780	8 to 12 weeks	8-12 weeks
2119781	8 to 12 weeks	8-12 weeks
2119788	8 to 12 weeks	8-12 weeks
2119789	8 to 12 weeks	8-12 weeks
2119790	8 to 12 weeks	8-12 weeks
2119792	8 to 12 weeks	8-12 weeks
2119793	8 to 12 weeks	8-12 weeks
2119794	8 to 12 weeks	8-12 weeks
2110402	> 12 weeks	>12 weeks
2110403	> 12 weeks	>12 weeks
2110404	> 12 weeks	>12 weeks
2110405	> 12 weeks	>12 weeks
2110406	> 12 weeks	>12 weeks
2110407	> 12 weeks	>12 weeks
2110408	> 12 weeks	>12 weeks
2110409	> 12 weeks	>12 weeks
2110410	> 12 weeks	>12 weeks
2110411	> 12 weeks	>12 weeks
2110412	> 12 weeks	>12 weeks
2103849	9 to 12 weeks	9-12 weeks
2103850	9 to 12 weeks	9-12 weeks
2103851	9 to 12 weeks	9-12 weeks
2119782	8 to 12 weeks	8-12 weeks
2119784	8 to 12 weeks	8-12 weeks
2119786	8 to 12 weeks	8-12 weeks
2119809	8 to 12 weeks	8-12 weeks
2119810	8 to 12 weeks	8-12 weeks
2119795	8 to 12 weeks	8-12 weeks
2119797	8 to 12 weeks	8-12 weeks
2119798	8 to 12 weeks	8-12 weeks
2119800	8 to 12 weeks	8-12 weeks
2119801	8 to 12 weeks	8-12 weeks
2119802	8 to 12 weeks	8-12 weeks
2110413	> 12 weeks	>12 weeks
2110414	> 12 weeks	>12 weeks
2110415	> 12 weeks	>12 weeks
2110416	> 12 weeks	>12 weeks
2110417	> 12 weeks	>12 weeks
2110418	> 12 weeks	>12 weeks
2110419	> 12 weeks	>12 weeks
2110420	> 12 weeks	>12 weeks
2110421	> 12 weeks	>12 weeks
2110422	> 12 weeks	>12 weeks
2110423	> 12 weeks	>12 weeks
2110424	> 12 weeks	>12 weeks
2119799	8 to 12 weeks	8-12 weeks
2119803	8 to 12 weeks	8-12 weeks
2119804	8 to 12 weeks	8-12 weeks
2119806	8 to 12 weeks	8-12 weeks
2119807	8 to 12 weeks	8-12 weeks
2119812	8 to 12 weeks	8-12 weeks
2119813	8 to 12 weeks	8-12 weeks
2119814	8 to 12 weeks	8-12 weeks
2119815	8 to 12 weeks	8-12 weeks
2119816	8 to 12 weeks	8-12 weeks
2119818	8 to 12 weeks	8-12 weeks
2110425	> 12 weeks	>12 weeks
2110426	> 12 weeks	>12 weeks
2110427	> 12 weeks	>12 weeks
2110428	> 12 weeks	>12 weeks
2110429	> 12 weeks	>12 weeks
2119819	8 to 12 weeks	8-12 weeks
2119820	8 to 12 weeks	8-12 weeks
2119823	8 to 12 weeks	8-12 weeks
2119824	8 to 12 weeks	8-12 weeks
2119825	8 to 12 weeks	8-12 weeks
2119827	8 to 12 weeks	8-12 weeks
2119828	8 to 12 weeks	8-12 weeks
2119831	8 to 12 weeks	8-12 weeks
2119832	8 to 12 weeks	8-12 weeks
2119829	8 to 12 weeks	8-12 weeks
2119833	8 to 12 weeks	8-12 weeks
2119834	8 to 12 weeks	8-12 weeks
2119835	8 to 12 weeks	8-12 weeks
2119837	8 to 12 weeks	8-12 weeks
2119838	8 to 12 weeks	8-12 weeks
2482740	52.7 +/- 10 years	52.7 ± 10 years
2482812	52.7 +/- 10 years	52.7 ± 10 years
2482813	52.7 +/- 10 years	52.7 ± 10 years
2482814	52.7 +/- 10 years	52.7 ± 10 years
2482815	52.7 +/- 10 years	52.7 ± 10 years
2484816	6 to 8 weeks	6-8 weeks
2484817	6 to 8 weeks	6-8 weeks
2484819	6 to 8 weeks	6-8 weeks
2484818	6 to 8 weeks	6-8 weeks
2482751	52.7 +/- 10 years	52.7 ± 10 years
2482752	52.7 +/- 10 years	52.7 ± 10 years
2482753	52.7 +/- 10 years	52.7 ± 10 years
2482754	52.7 +/- 10 years	52.7 ± 10 years
2484809	6 to 8 weeks	6-8 weeks
2484810	6 to 8 weeks	6-8 weeks
2484811	6 to 8 weeks	6-8 weeks
2484812	6 to 8 weeks	6-8 weeks
2482731	52.7 +/- 10 years	52.7 ± 10 years
2482734	52.7 +/- 10 years	52.7 ± 10 years
2482735	52.7 +/- 10 years	52.7 ± 10 years
2482736	52.7 +/- 10 years	52.7 ± 10 years
2482737	52.7 +/- 10 years	52.7 ± 10 years
2482738	52.7 +/- 10 years	52.7 ± 10 years
2482741	52.7 +/- 10 years	52.7 ± 10 years
2482742	52.7 +/- 10 years	52.7 ± 10 years
2482743	52.7 +/- 10 years	52.7 ± 10 years
2482745	52.7 +/- 10 years	52.7 ± 10 years
2484804	6 to 8 weeks	6-8 weeks
2482805	52.7 +/- 10 years	52.7 ± 10 years
2482744	52.7 +/- 10 years	52.7 ± 10 years
2482746	52.7 +/- 10 years	52.7 ± 10 years
2482747	52.7 +/- 10 years	52.7 ± 10 years
2482748	52.7 +/- 10 years	52.7 ± 10 years
2482749	52.7 +/- 10 years	52.7 ± 10 years
2482750	52.7 +/- 10 years	52.7 ± 10 years
2482806	52.7 +/- 10 years	52.7 ± 10 years
2482807	52.7 +/- 10 years	52.7 ± 10 years
2482808	52.7 +/- 10 years	52.7 ± 10 years
2482809	52.7 +/- 10 years	52.7 ± 10 years
2482810	52.7 +/- 10 years	52.7 ± 10 years
2482811	52.7 +/- 10 years	52.7 ± 10 years
2119776	8 to 12 weeks	8-12 weeks
2119777	8 to 12 weeks	8-12 weeks
2119783	8 to 12 weeks	8-12 weeks
2119787	8 to 12 weeks	8-12 weeks
2119796	8 to 12 weeks	8-12 weeks
2119805	8 to 12 weeks	8-12 weeks
2119811	8 to 12 weeks	8-12 weeks
2119817	8 to 12 weeks	8-12 weeks
2119822	8 to 12 weeks	8-12 weeks
2119770	8 to 12 weeks	8-12 weeks
2119774	8 to 12 weeks	8-12 weeks
2119775	8 to 12 weeks	8-12 weeks
2119836	8 to 12 weeks	8-12 weeks
2119854	> 1.5 years	>1.5 years
2119826	8 to 12 weeks	8-12 weeks
2119830	8 to 12 weeks	8-12 weeks
2119858	> 4 years	>4 years
2119874	24 to 82 years	24-82 years
2119866	21 to 86 years	21-86 years
2119808	8 to 12 weeks	8-12 weeks
2103663	6 to 8 weeks	6-8 weeks
2103664	6 to 8 weeks	6-8 weeks
2103665	3 years old	3 years
2103856	9 to 12 weeks	9-12 weeks
2103857	9 to 12 weeks	9-12 weeks
2103858	9 to 12 weeks	9-12 weeks
2103859	9 to 12 weeks	9-12 weeks
2103860	9 to 12 weeks	9-12 weeks
2103861	9 to 12 weeks	9-12 weeks
2103862	9 to 12 weeks	9-12 weeks
2110438	> 12 weeks	>12 weeks
2110439	> 12 weeks	>12 weeks
2110440	> 12 weeks	>12 weeks
2110441	> 12 weeks	>12 weeks
2110442	> 12 weeks	>12 weeks
2110443	> 12 weeks	>12 weeks
2110444	> 12 weeks	>12 weeks
2110445	> 12 weeks	>12 weeks
2115631	8 to 12 weeks	8-12 weeks
2115642	8 to 12 weeks	8-12 weeks
2115643	8 to 12 weeks	8-12 weeks
2115644	8 to 12 weeks	8-12 weeks
2110366	> 12 weeks	>12 weeks
2110367	> 12 weeks	>12 weeks
2119857	> 1.5 years	>1.5 years
2119856	> 4 years	>4 years
2119859	> 1.5 years	>1.5 years
2119860	> 4 years	>4 years
2119865	2 months old	2 months
2119870	24 to 82 years	24-82 years
2119821	8 to 12 weeks	8-12 weeks
2110365	> 12 weeks	>12 weeks
2110368	> 12 weeks	>12 weeks
2110369	> 12 weeks	>12 weeks
2110370	> 12 weeks	>12 weeks
2110371	> 12 weeks	>12 weeks
2110372	> 12 weeks	>12 weeks
2110373	> 12 weeks	>12 weeks
2119871	21 to 86 years	21-86 years
2119872	24 to 82 years	24-82 years
2119873	21 to 86 years	21-86 years
2119184	3 to 14 years	3-14 years
2119185	3 to 14 years	3-14 years
1821225	31.63 +/- 1.37 years	31.63 ± 1.37 years
1831278	6-8 weeks old	6-8 weeks
1838804	6 to 8 months	6-8 months
1838791	6 to 8 months	6-8 months
1838798	6 to 8 months	6-8 months
1838809	6 to 8 months	6-8 months
1838820	7 to 8 weeks	7-8 weeks
1820555	8- to 10-week-old	8-10 weeks
1819226	Adult	adult
1819243	Adult	adult
1959608	Adult	adult
1821243	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821246	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821265	31.63 +/- 1.37 years	31.63 ± 1.37 years
1819228	Adult	adult
1819232	Adult	adult
1819239	Adult	adult
1819244	Adult	adult
1819253	Adult	adult
1819254	Adult	adult
1821249	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821252	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821256	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821259	31.63 +/- 1.37 years	31.63 ± 1.37 years
1819245	Adult	adult
1819250	Adult	adult
1821262	31.63 +/- 1.37 years	31.63 ± 1.37 years
1834458	6-8 weeks old	6-8 weeks
1819221	Adult	adult
1819257	Adult	adult
1823205	5 weeks.	5 weeks
1819391	mean age = 37.7 years	mean: 37.7 years
1819392	mean age = 37.7 years	mean: 37.7 years
1819393	mean age = 37.7 years	mean: 37.7 years
1819394	mean age = 37.7 years	mean: 37.7 years
1819402	mean age = 37.7 years	mean: 37.7 years
1831677	6-8 weeks old	6-8 weeks
1830946	mean age = 46 years	mean: 46 years
1819318	31.63 +/- 1.37 years	31.63 ± 1.37 years
1819319	43.62 +/- 1.07 years	43.62 ± 1.07 years
1819395	mean age = 37.7 years	mean: 37.7 years
1819396	mean age = 37.7 years	mean: 37.7 years
1819397	mean age = 37.7 years	mean: 37.7 years
1819398	mean age = 37.7 years	mean: 37.7 years
1819399	mean age = 37.7 years	mean: 37.7 years
1819400	mean age = 37.7 years	mean: 37.7 years
1819401	mean age = 37.7 years	mean: 37.7 years
1819403	mean age = 37.7 years	mean: 37.7 years
1830947	mean age = 46 years	mean: 46 years
1830948	mean age = 46 years	mean: 46 years
1959604	Adult	adult
1959605	Adult	adult
1959606	Adult	adult
1959607	Adult	adult
1822574	23 to 27 weeks	23-27 weeks
1822580	23 to 27 weeks	23-27 weeks
1833357	6 to 8 weeks	6-8 weeks
1822780	35 to 65 years	35-65 years
1822781	35 to 65 years	35-65 years
1822782	35 to 65 years	35-65 years
1822783	35 to 65 years	35-65 years
1834456	6-8 weeks old	6-8 weeks
1825283	2-3 month old	2-3 months
1819998	8 to 12 weeks	8-12 weeks
1821354	12-14 weeks old	12-14 weeks
1822787	35 to 65 years	35-65 years
1821204	43.62 +/- 1.07 years	43.62 ± 1.07 years
1821203	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821207	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821214	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821216	31.63 +/- 1.37 years	31.63 ± 1.37 years
1822784	35 to 65 years	35-65 years
1822785	35 to 65 years	35-65 years
1822296	4-5 weeks old	4-5 weeks
1821210	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821228	31.63 +/- 1.37 years	31.63 ± 1.37 years
1842047	20 to 70 years	20-70 years
1842048	20 to 70 years	20-70 years
1842049	20 to 70 years	20-70 years
1842050	20 to 70 years	20-70 years
1842053	20 to 70 years	20-70 years
1842054	20 to 70 years	20-70 years
1821212	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821218	31.63 +/- 1.37 years	31.63 ± 1.37 years
1821220	31.63 +/- 1.37 years	31.63 ± 1.37 years
1831279	6-8 weeks old	6-8 weeks
1831682	mean age = 46 years	mean: 46 years
1831617	6 to 8 weeks	6-8 weeks
1838805	6 to 8 months	6-8 months
1828190	8 to 10 weeks	8-10 weeks
1831620	6-8 weeks old	6-8 weeks
1838770	6 to 8 months	6-8 months
1838761	6 to 8 months	6-8 months
1838769	6 to 8 months	6-8 months
1828189	8 to 10 weeks	8-10 weeks
1828191	8 to 10 weeks	8-10 weeks
1831119	< 30 years	<30 years
1831671	6 to 8 weeks	6-8 weeks
1838890	7 to 8 weeks	7-8 weeks
1838854	6 to 8 months	6-8 months
1838762	6 to 8 months	6-8 months
1842055	20 to 70 years	20-70 years
2442824	8 week	8 weeks
1828193	8 to 10 weeks	8-10 weeks
1828194	8 to 10 weeks	8-10 weeks
1828192	8 to 10 weeks	8-10 weeks
1831128	< 30 years	<30 years
1831129	< 30 years	<30 years
1831681	mean age = 46 years	mean: 46 years
1847022	2 to 65 years	2-65 years
1847208	2 to 65 years	2-65 years
1838855	6 to 8 months	6-8 months
1838767	6 to 8 months	6-8 months
1838768	6 to 8 months	6-8 months
1838774	6 to 8 months	6-8 months
1838784	6 to 8 months	6-8 months
1838776	6 to 8 months	6-8 months
1838777	6 to 8 months	6-8 months
1842056	20 to 70 years	20-70 years
1847211	2 to 65 years	2-65 years
1838856	6 to 8 months	6-8 months
1838780	6 to 8 months	6-8 months
1838781	6 to 8 months	6-8 months
1838785	6 to 8 months	6-8 months
1838806	6 to 8 months	6-8 months
1828579	Adult	adult
1831665	6 to 8 weeks	6-8 weeks
1831668	6 to 8 weeks	6-8 weeks
1838792	6 to 8 months	6-8 months
1838857	6 to 8 months	6-8 months
1838786	6 to 8 months	6-8 months
1838787	6 to 8 months	6-8 months
1838789	7 to 8 weeks	7-8 weeks
1838793	6 to 8 months	6-8 months
1838790	6 to 8 months	6-8 months
1838808	7 to 8 weeks	7-8 weeks
1838807	6 to 8 months	6-8 months
1831667	6 to 8 weeks	6-8 weeks
1828135	6-8 weeks old	6-8 weeks
2851883	6 to 8 weeks	6-8 weeks
2851884	6 to 8 weeks	6-8 weeks
2852780	18–55 years	18-55 years
1827902	Adult	adult
1831425	6-8 weeks old	6-8 weeks
1831697	6-8 weeks old	6-8 weeks
1842051	20 to 70 years	20-70 years
1842052	20 to 70 years	20-70 years
1842046	20 to 70 years	20-70 years
1838800	7 to 8 weeks	7-8 weeks
1843213	7 to 10 weeks	7-10 weeks
1827882	Adult	adult
1828125	6-8 weeks old	6-8 weeks
1828126	8 to 10 weeks	8-10 weeks
1864058	8 to 10 weeks	8-10 weeks
1864060	8 to 10 weeks	8-10 weeks
1827903	Adult	adult
1827904	Adult	adult
1827905	Adult	adult
1827906	Adult	adult
1827930	Adult	adult
1827931	8 to 9 weeks	8-9 weeks
1837832	6-8 weeks old	6-8 weeks
2851860	6 to 8 weeks	6-8 weeks
1828127	6-8 weeks old	6-8 weeks
1828130	8 to 10 weeks	8-10 weeks
1828131	8 to 10 weeks	8-10 weeks
1827901	Adult	adult
1827907	Adult	adult
1827908	Adult	adult
1827909	Adult	adult
1827910	Adult	adult
1827919	Adult	adult
2851885	6 to 8 weeks	6-8 weeks
1838861	6 to 8 months	6-8 months
1857717	6-10 week	6-10 weeks
1827932	8 to 9 weeks	8-9 weeks
1827915	Adult	adult
1827916	Adult	adult
1827917	Adult	adult
1827918	Adult	adult
1827925	Adult	adult
1827920	Adult	adult
1827921	Adult	adult
1827922	Adult	adult
1827923	Adult	adult
1827924	Adult	adult
1827933	8 to 9 weeks	8-9 weeks
1831732	6 to 8 weeks	6-8 weeks
1831731	6 to 8 weeks	6-8 weeks
1827926	Adult	adult
1827927	Adult	adult
1827928	Adult	adult
1827929	Adult	adult
1864072	8 to 10 weeks	8-10 weeks
1828121	8 to 10 weeks	8-10 weeks
1828124	8 to 10 weeks	8-10 weeks
1831426	6-8 weeks old	6-8 weeks
1828134	6-8 weeks old	6-8 weeks
1831669	6 to 8 weeks	6-8 weeks
1838803	6 to 8 months	6-8 months
1864597	51.4 +/- 18 years	51.4 ± 18 years
1828133	6-8 weeks old	6-8 weeks
1818727	29 +/- 9 days	29 ± 9 days
1818729	29 +/- 9 days	29 ± 9 days
1818730	29 +/- 9 days	29 ± 9 days
1818731	29 +/- 9 days	29 ± 9 days
1816456	3 to 4 months	3-4 months
1830938	mean age = 46 years	mean: 46 years
1815068	< 40 years	<40 years
1850701	6 to 8 weeks	6-8 weeks
1850696	6 to 8 weeks	6-8 weeks
1850699	6 to 8 weeks	6-8 weeks
