index	unknown_word	pdb_plausible?	context	occurrences	category	replace_with	remove	invalidate	allow
1226	s4b	N	'figure 2, table s4b, s5 and pdb 6mqc', 'figure 2, table s4b, s5 and pdb 6mqe', 'figure s3 and table s4b', 'figure s4a, s4b, 5 and table 1', 'figure s4b', 'figures 3b, 3d, s4b, s4d', 'table s4b and pdb 6mqm', 'table s4b and pdb 6mqr', 'table s4b and pdb 6mqs', 'table s4b and pdb 6n16', 'figure 3b, 3d, s4b, s4d'	10					
1233	s7a	N	'figure 2, table s6, s7a, 7b, 7c, 7d and pdb 3se9', 'figures 2, 3, 4, 6b, fig. s2, s7a, tables 1 and 2', 'figures 2, 6b, s7a ,s2, tables 1 and 2', 'supplementary figure s7a', 'figure 2, 3, 4, 6b, fig. s2, s7a, table 1 and 2', 'figure 2, 6b, s7a ,s2, table 1 and 2', 'figure 2, 3, 4, 6b, fig. s2, s7a, tables 1 and 2'	4					
1242	ppdb	N	'figure 2, tables 1, 2 and ppdb 5xj3', 'figure 2, table 1, 2 and ppdb 5xj3'	1					
1258	s8a	N	'figure 2, tables s8a, 8b, 8c, 8d and pdb 3se8', 'figure 2, table s8a, 8b, 8c, 8d and pdb 3se8'	1					
1260	talbe	N	'figure 2, talbe 2'	1					
1261	e4566	N	'figure 2, text p e4566', 'figure 2, text page e4566'	1					
1263	2/materials	N	'figure 2/materials and methods'	1					
1264	14c90	N	'figure 2a and 2b (14c90)', 'figure 2c (14c90)', 'figure 2d (14c90)'	3					
1265	28b90	N	'figure 2a and 2b (28b90)', 'figure 2c (28b90)', 'figure 2d (28b90)'	3					
1266	29e90	N	'figure 2a and 2b (29e90)', 'figure 2d (29e90)'	2					
1267	spplemental	N	'figure 2a and spplemental figure 1', 'figure 2a and spplemental figure 2', 'figure 2a and spplemental figure 3', 'figure 3a and spplemental figure 5', 'figures 1, 6 and spplemental figure 2', 'figure 1, 6 and spplemental figure 2'	5					
1268	/	N	'figure 2a structure 1 / 1b'	1					
1271	s9a	N	'figure 2c and s9a', 'figure 3a and s9a'	2					
1276	s2k	N	'figure 2g and s2k', 'figure s2k', 'figure s2k,s3,', 'figures 2f and s2k', 'figures s1b, 2e, 2f, and s2k', 'figure s1b, 2e, 2f, and s2k', 'figure 2f and s2k'	5					
1284	2sc	N	'figure 2sc'	1					
1285	dr0402	N	'figure 3 (dr0402)', 'figures 1 and 3 (dr0402)', 'table 2 (dr0402)', 'figure 1 and 3 (dr0402)'	3					
1286	dr1101	N	'figure 3 (dr1101)', 'figures 1 and 3 (dr1101)', 'figure 1 and 3 (dr1101)'	2					
1287	dr1301	N	'figure 3 (dr1301)', 'figures 1 and 3 (dr1301)', 'table 2 (dr1301)', 'figure 1 and 3 (dr1301)'	3					
1288	e6	N	'figure 3 and e6', 'figure e6', 'figures 3, e6', 'figure 3, e6'	3					
1289	ev3	N	'figure 3 and ev3', 'figure ev3', 'figure ev3 and appendix table s1', 'figures 1, 2 and ev1, ev3', 'figures 1, 2 and ev1, ev3, ev4', 'figures 1, 2, 5, 6, ev2, ev3 and appendix figure s1', 'figures 2, 3, 5, ev3, and ev4', 'figures 3, ev3, appendix figure s5 and table s2 and pdb 7b27', 'figures 3, ev3, appendix table s2 and pdb 7nkt'	11					
1313	pride	N	'figure 3 and pride id:pxd021755', 'figure 4 and pride id:pxd021755', 'figures 3, 4 and pride id:pxd021755', 'pride database id: pxd035499', 'pride database: pxd020614', 'pride database: pxd023545', 'figure 3, 4 and pride id:pxd021755'	7					
1314	pxd021755	N	'figure 3 and pride id:pxd021755', 'figure 4 and pride id:pxd021755', 'figures 3, 4 and pride id:pxd021755', 'figure 3, 4 and pride id:pxd021755'	4					
1315	supplememtal	N	'figure 3 and supplememtal figure 1'	1					
1316	supplementaary	N	'figure 3 and supplementaary table 2', 'figures 2, 3, supplementaary figures 2 and 3', 'figure 2, 3, supplementaary figure 2 and 3'	2					
1317	content	N	'figure 3 and supplemental digital content 1'	1					
1318	digital	N	'figure 3 and supplemental digital content 1'	1					
1319	3s1	N	'figure 3 and supplemental figure 3s1'	1					
1322	figurse	N	'figure 3 and supplementary figurse s2, s8 and s11', 'figurse 4 and 5', 'figurse 4 and 6'	3					
1323	video	N	'figure 3 and supplementary video 1', 'figure 3, figure 3 supplement 1, video 1, table 2 and pdb 5viy', 'figures 3, 5, 6, 7, figure 3 supplement 1 and 2, video 1, table 2 and pdb 5viy', 'figure 3, 5, 6, 7, figure 3 supplement 1 and 2, video 1, table 2 and pdb 5viy', 'figure 3, figure 3 supplementary 1, video 1, table 2 and pdb 5viy'	3					
1324	supplementay	N	'figure 3 and supplementay tables s2 and s3', 'figures 1 and 2 and supplementay table s3', 'figures 1, 2, and 4 and supplementay table s3', 'figures 3, 4, and 5 and supplementay tables s2 and s3', 'supplementay figure 3', 'figure 3 and supplementay table s2 and s3', 'figures 3, 4, and 5 and supplementay table s2 and s3'	6					
1325	supplementray	N	'figure 3 and supplementray table 5', 'supplementray figure 2 and supplementray table 4', 'supplemetary figure 3 and supplementray table 6', 'table 2, figures 1 and 2 and supplementray table 3', 'table 2, figure 1 and 2 and supplementray table 3'	4					
1326	tabl1	N	'figure 3 and tabl1 1'	1					
1327	p328	N	'figure 3 and text page p328'	1					
1328	garoff	N	'figure 3 from garoff et al (1980)', 'garoff et al. (1980) nature 288:236'	2					
1329	nad	N	'figure 3 nad s3', 'figures 3 nad 6', 'figure 3 nad 6'	2					
1352	able	N	'figure 3, able 3'	1					
1353	also	N	'figure 3, also figures 2 and 4', 'figure 3, also figures 2, 4 and 5', 'figure 3, also figure 2 and 4', 'figure 3, also figure 2, 4 and 5'	2					
1395	vapalahti	N	'figure 3, reference vapalahti et al., 1992'	1					
1407	sfigure	N	'figure 3, sfigure 2'	2					
1411	figures1	N	'figure 3, supplemental figures1, table 1 and pdb 5oqh', 'figures1 and 2', 'figures1 and 4', 'figures1 and 5', 'figures1, 2 and tables 7, 8', 'figures1, 2, 3, and s5 and table 1', 'figures1, 2, and 3, table iii', 'figures1, 4, and s1', 'figures1, table 2.', 'figures1-4, 6, table ii', 'table 1, figures1, 2, 3, 5 and 6'	12					
1433	n1a	N	'figure 3, supplementary figure 4, supplementary table 4 and pdb 7 n1a'	1					
1629	s4a	N	'figure 3, tables 1, s4a, s5, and pdb 7ued', 'figure s4a', 'figure s4a, s4b, 5 and table 1', 'figures s3a and s4a', 'figures s4a, s4c', 'suppl figure s4a', 'figure 3, table 1, s4a, s5, and pdb 7ued', 'figure s4a, s4c', 'figure s3a and s4a', 'supplemental figure s4a'	6					
1650	e5832	N	'figure 3, text page e5832, and pdb 5kw9'	1					
1651	panel	N	'figure 3a (left panel)'	1					
1652	left	N	'figure 3a (left panel)'	1					
1653	group	N	'figure 3a group 1', 'figure 3a group ii', 'table i (group a), table ii (groups a and c), table iii (group c)', 'table i (group b), table iii (group b)', 'table i (group c)', 'table iii (group a)', 'table iv (group c)', 'table iv (group d)', 'table 1 (group a), table 11 (groups a and c), table 111 (group c)'	8					
1654	figure3b	N	'figure 3a, figure3b, supplemental figure 1'	1					
1659	3cd	N	'figure 3cd and 5'	1					
1674	lane	N	'figure 4 (lane 3)', 'figure 4 (lane 5)'	2					
1692	s23	N	'figure 4 and s23', 'figures 1, 4, 5, s1, s13, s14, s15, s21 and s23', 'material and methods, figure s23', 'table 1 and figures 2 and s23', 'table 1, s1 and figure s23', 'table s23', 'figure 1, 4, 5, s1, s13, s14, s15, s21 and s23', 'table 1 and figure 2 and s23'	6					
1693	supplemenary	N	'figure 4 and supplemenary file 3', 'supplemenary material, p 15', 'supplemenary table st1', 'supplemenary table st3', 'supplemenary table st4', 'supplemenary table st5', 'supagepagelemenary material, page 15', 'supplemenary material, page 15'	6					
1694	supplemenratry	N	'figure 4 and supplemenratry figure 2'	1					
1695	4s2	N	'figure 4 and supplemental figure 4s2, table 1, and pdb 7lr3', 'figure 4 and supplemental figure 4s2, table 1, and pdb 7lr4', 'figures 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2', 'figure 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2'	3					
1698	s17	N	'figure 4 and supplementary figures s16 and s17', 'figure s17', 'figure s17 and s18', 'figure s17 and table s6', 'figure s17, table s4 and pdb 7w71', 'figures 1, 4, s1, s2, s3, s8, s10, s16, s17, s18 and pdb 3j5m', 'figures 1, s1, s17 and table s6', 'figures 1, s16 and s17', 'figures 1, s6, s8, s16 and s17'	32					
1699	supplemetary	N	'figure 4 and supplemetary table 5', 'figure 5 and supplemetary figure 5', 'figures 1, 2, 5 and supplemetary figure s2 and s6', 'figures 1, 2, supplementary figures 4, 5, 6, 9, 10, supplemetary table 1 and pdb 6e0p', 'supplementary figure 11, supplemetary table 1 and pdb 6e0c', 'supplemetary figure 3 and supplementray table 6'	7					
1700	supplmental	N	'figure 4 and supplmental table 4'	1					
1701	ables	N	'figure 4 and t ables 1, 2, and 3'	1					
1706	p348	N	'figure 4 and text p348'	2					
1707	p351	N	'figure 4 and text p351'	1					
1708	page12	N	'figure 4 and text page12'	1					
1709	row	N	'figure 4 bottom row and figure 5', 'figure 4 bottom row, and figure 5', 'figure 4, bottom row'	3					
1710	bottom	N	'figure 4 bottom row and figure 5', 'figure 4 bottom row, and figure 5', 'figure 4, bottom row'	3					
1718	e9	N	'figure 4, 6b and e9', 'figure 5, table e9', 'figure 6b and e9'	3					
1726	ev4	N	'figure 4, ev4 and appendix table s5', 'figures 1, 2 and ev1, ev3, ev4', 'figures 2, 3, 5, ev3, and ev4', 'figures 2, 3, and ev4', 'figures 3, ev4, s3, table s2 and pdb 7p7a', 'figure 1, 2 and ev1, ev3, ev4', 'figure 2, 3, 5, ev3, and ev4', 'figure 2, 3, and ev4', 'figure 3, ev4, s3, table s2 and pdb 7p7a'	5					
1743	pdbs	N	'figure 4, extended data figures 7 and 9, and pdbs 7n2o, 7n2q, and 8cx4', 'figure 4, extended data figures 7 and 9, and pdbs 7n2s, 7n2n, and 7n2r', 'figure 4, extended data figure 7 and 9, and pdbs 7n2o, 7n2q, and 8cx4', 'figure 4, extended data figure 7 and 9, and pdbs 7n2s, 7n2n, and 7n2r'	2					
1768	s10f	N	'figure 4, s10f', 'figure s10f', 'figures 4, s10f'	3					
1774	s21	N	'figure 4, s5, s21, table s1 and pdb 6um7', 'figure s21', 'figures 1, 4, 5, s1, s13, s14, s15, s21 and s23', 'figures 2, 3, 4, s8, s15, s18, s21 and table s4', 'figures 2, 3, s8, s10, s15, s18, s21 and table s4', 'figures 2, s8, s9, s10, s18, s21 and table s4', 'figures 4, s21 and s22', 'figures 6, s21'	11					
1777	s22	N	'figure 4, s5, s22, table s1 and pdb 6um6', 'figure 5, figure s22', 'figures 2, 5 and s22', 'figures 2, s16, s22 and table s3', 'figures 3, 4, 5, s12 and s22', 'figures 3, 5, s12 and s22', 'figures 3, s17, s18, s22 and table s2', 'figures 4, s21 and s22', 'figures s15, s19, s20, s21, s22 and table s1'	15					
1807	n1f	N	'figure 4, supplementary figure 5, supplementary table 4 and pdb 7 n1f'	1					
1832	cug	N	'figure 4, supplementary figures 9, 10, 11, supplementary tables 1, 2 and pdb cug', 'figure 4, supplementary figure 9, 10, 11, supplementary table 1, 2 and pdb cug', 'figure 4, supplementary figure 9, 10, 11, supplementary tables 1, 2 and pdb cug'	1					
1894	supptemental	N	'figure 4, table 2, supptemental figures 3, 4, 5', 'figure 4, table 2, supptemental figure 3, 4, 5'	1					
1964	andpdb	N	'figure 4, tables s4, s5 andpdb 7s5q', 'figures 2, 3, 4, supplementary figures 3, 4, supplementary tables 3, 5 andpdb 5ocx', 'figures 2, 3, supplementary figure s6, supplementary tables 2, 3 andpdb 3ns6', 'figures 2, 4, supplementary figure 4, table 2 andpdb 6wez', 'figure 4, table s4, s5 andpdb 7s5q'	4					
1968	4/materials	N	'figure 4/materials and methods'	1					
1969	fc	N	'figure 4a, figure fc'	1					
1970	s4c	N	'figure 4d,e and s4c', 'figure s4c', 'figures s4a, s4c', 'figures s4c and s6', 'figure s4a, s4c', 'figure s4c and s6'	4					
1977	article	N	'figure 5 and article text'	1					
1996	supplementaray	N	'figure 5 and supplementaray figure 6 and supplementaray table 4', 'figure 5 and supplementaray table 4'	2					
1998	tabls	N	'figure 5 and supplementary tabls s2, s3 and s4', 'figure 5 and supplementary tabls s2, s3, s4, s5 and s6', 'figures 3, s3, tabls s1 s2, s4 and pdb 7s07', 'figures 3, s3, tabls s1 s2, s4 and pdb 7s1b', 'tabls s1 and pdb 3ma9', 'figure 3, s3, tabls s1 s2, s4 and pdb 7s07', 'figure 3, s3, tabls s1 s2, s4 and pdb 7s1b'	5					
1999	supprting	N	'figure 5 and supprting figure s4', 'figure 5 and supprting figures s4 and s5', 'figure 5 and supprting figures s4, s6, and s7', 'figure 5 and supprting figure s4 and s5', 'figure 5 and supprting figure s4, s6, and s7'	3					
2005	ev5	N	'figure 5, ev5, appendix table s6 and pdb 8fg0', 'figure 6 and ev5', 'figure ev5 and dataset ev1', 'figures 3 and ev5', 'figure 3 and ev5'	4					
2024	supplement1	N	'figure 5, figure 5 figure supplement1 and pdb 4m1c'	1					
2026	s15	N	'figure 5, figure s15', 'figure 6, supplementary figures s2, s3, s4, s5, s11, s13, s14, s15', 'figure s15 and table s1', 'figure s15 and table s4', 'figure s4-p,table s15', 'figures 1, 2, 4, 5, s2, s6, s7, s8, s11, s15, tables s1, s2, s3, s4, s12, s13 and pdb 3ngb', 'figures 1, 4, 5, s1, s13, s14, s15, s21 and s23'	55					
2120	web	N	'figure 5, table 2 and web table 1', 'figures 2, 3, 5, tables 1, 2, web tables 1, 2 and pdb 1fo0', 'figures 3 and 5, table 2 and web table 1', 'figure 3 and 5, table 2 and web table 1', 'figure 2, 3, 5, table 1, 2, web table 1, 2 and pdb 1fo0', 'figure 2, 3, 5, tables 1, 2, web tables 1, 2 and pdb 1fo0'	4					
2205	pages	N	'figure 5, text (pages 64-5)', 'figure 8, pages 3, 4, and 6', 'figure and table, pages 137-138', 'figures 1, 2, s2, and s4, pages 6 and 8', 'figures 8 and s3, pages 5 and 6', 'figures s2 and s4, pages 3, 4, 6, and 8', 'pages 120-121', 'pages 138-139', 'pages 3, 4, and 8, figure 5', 'pages 534 and 536'	31					
2206	sample	N	'figure 5a, sample 1', 'figure 5a, sample 3'	2					
2216	proof	N	'figure 6 and note added in proof'	2					
2217	added	N	'figure 6 and note added in proof'	2					
2221	2s1	N	'figure 6 and supplemental figures 2s1 and 6s1', 'figure 6 and supplemental figure 2s1 and 6s1'	1					
2222	6s1	N	'figure 6 and supplemental figures 2s1 and 6s1', 'figure 6 and supplemental figure 2s1 and 6s1'	1					
2233	tabe	N	'figure 6, figures s3, tabe si', 'tabe s1', 'tabe s3', 'tabe s3, figure s3', 'figure 6, figure s3, tabe si'	4					
2304	frame	N	'figure 6a, frame d', 'figure 6a, frame h', 'figure 6b, frame d', 'figure 6b, frame h'	4					
2305	frames	N	'figure 6a, frames b and c', 'figure 6a, frames e and g', 'figure 6a, frames f and g', 'figure 6b, frames b and c', 'figure 6b, frames e and g', 'figure 6b, frames f and g'	6					
2308	s6e	N	'figure 6h, supplementary figure s6e', 'figures 1, 6, s6, tables s2, s6e and pdb 4ydi', 'pdb 4ydi and table s6e', 'figure 1, 6, s6, table s2, s6e and pdb 4ydi', 'figure 1, 6, s6, tables s2, s6e and pdb 4ydi', 'figures 1, 6, s6, table s2, s6e and pdb 4ydi'	5					
2314	s6g	N	'figure 6m, s6g', 'figure s6g', 'figures 1, 6, s6, tables s2, s6g and pdb 4rwy', 'pdb 4rwy and table s6g', 'figure 1, 6, s6, table s2, s6g and pdb 4rwy', 'figure 1, 6, s6, tables s2, s6g and pdb 4rwy'	4					
2318	anf	N	'figure 7 anf table s1'	1					
2338	figure1	N	'figure 7, supplementary figure1, and supplementary table 2', 'figure1 and table 1', 'figure1, 2, table 1 and pdb 2dbl', 'figure1, 2a and table 1', 'figure1, table 1', 'figure1, table 1 and pdb 1dbj', 'figure1,table3', 'supplementary table 1 and figure1', 'tables 1, 2 and figure1', 'table 1, 2 and figure1'	11					
2380	sypplementary	N	'figure 8 and sypplementary figure s6'	1					
2381	supplamental	N	'figure 8, supplamental figure 2', 'figures 5, 6, supplamental figure 1', 'supplamental figure 3', 'figure 5, 6, supplamental figure 1'	3					
2420	a4	N	'figure a4'	1					
2421	andtable	N	'figure andtable 2'	1					
2422	e7	N	'figure e4 and e7'	1					
2423	e5	N	'figure e5', 'figures 1, e1, e5', 'figures 7, e4 and e5', 'table e5', 'table e5, figure 6', 'figure 1, e1, e5', 'figure 7, e4 and e5'	5					
2424	e8	N	'figure e8'	1					
2425	k1	N	'figure k1,s1'	1					
2437	s10d	N	'figure s10d', 'figures 4, s10d', 'figure 4, s10d'	2					
2438	s10e	N	'figure s10e'	1					
2445	s19	N	'figure s19', 'figures 1, s3, s8, and s19', 'figures 3, 7, s5, s8, s19, and s20', 'figures 1, 2, s3, s4, s6, s7, s11, s16, s19, tables s1, s2 and pdb 7uot', 'figures 1, 2, s3, s4, s6, s7, s11, s19, tables s1, s2 and pdb 7uot', 'figures 1, 4, s2, s3, s5, s6, s7, s11, s16, s19, tables s1, s2 and pdb 7uov'	23					
2446	s1d	N	'figure s1d', 'figures 6, 7 and tables s1d, s1e, s1f', 'table i and supplementary figure s1d', 'table s1d', 'table 1 and supplementary f1gure s1d', 'figure 6, 7 and table s1d, s1e, s1f', 'figure 6, 7 and tables s1d, s1e, s1f', 'table 1 and supplementary figure s1d', 'figures 6, 7 and table s1d, s1e, s1f'	4					
2447	s1e	N	'figure s1e', 'figure s1e, f', 'figures 6, 7 and tables s1d, s1e, s1f', 'table i and supplementary figure s1e', 'table 1 and supplementary f1gure s1e', 'figure 6, 7 and table s1d, s1e, s1f', 'figure 6, 7 and tables s1d, s1e, s1f', 'table 1 and supplementary figure s1e', 'figures 6, 7 and table s1d, s1e, s1f'	4					
2457	s20	N	'figure s20', 'figures 3, 7, s5, s8, s19, and s20', 'figures 1, 6, tables s2, s3, s4 and s20', 'figures 3, 7, s8, and s20', 'figures 6, s20', 'figures 6, s5, table s20', 'figures s15, s19, s20, s21, s22 and table s1', 'figures s19 and s20', 'table 1 and figures 2 and s20', 'tables s2 and s20', 'figure 3, 7, s5, s8, s19, and s20'	11					
2458	s2e	N	'figure s2c, s2e', 'figure s2e', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d', 'figures s1c, 1a, 1b, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, 3e, s3d, 6a, 6b, and 6c', 'supplemental figure s2e', 'figure 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d'	6					
2459	s2f	N	'figure s2f', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d', 'figures s1c, 1a, 1b, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, 3e, s3d, 6a, 6b, and 6c', 'supplemental figure s2f', 'figure 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d'	5					
2460	s2r	N	'figure s2r'	1					
2473	s3c	N	'figure s3c', 'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'suppl figures s3c', 'supplementary figure s3c', 'supplementary figures s3c', 'figure 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'supplemental figure s3c', 'figures 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figure 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f'	5					
2507	s5a	N	'figure s5a', 'figure s5a, 4b, and 6b', 'figure s5a, table s2', 'figure s5a-d', 'figures 3, s5a, 4b, and 6b', 'figures 3b, 4b and s5a', 'supplementary s5a', 'figure 3, s5a, 4b, and 6b', 'figure 3b, 4b and s5a'	7					
2508	s5b	N	'figure s5b', 'figure s5b, table s3', 'figures 1a, 1c, 2b, s5b, 6b', 'figures 5b and s5b', 'figures 5b, s5b', 'supplementary figure s5b,c', 'figure 5b and s5b', 'figure 5b, s5b', 'figure 1a, 1c, 2b, s5b, 6b'	6					
2509	s5c	N	'figure s5c', 'figure s5c, table s4', 'figures 5c, s5c', 'supplementary figure s3 and s5c', 'figure 5c, s5c'	4					
2510	s5d	N	'figure s5d'	1					
2511	s5e	N	'figure s5e', 'figure s5e-g'	2					
2512	s5f	N	'figure s5f'	1					
2513	s5g	N	'figure s5g'	1					
2514	s5h	N	'figure s5h', 'figures s5h and s5i', 'figure s5h and s5i'	2					
2520	s3e	N	'figure s6, table s3e and pdb 6v6w', 'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figures 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figure 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figure 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f'	2					
2524	s6a	N	'figure s6a', 'figure s6a, s7', 'figures 1, s6, tables s2, s6a and pdb 4ye4', 'pdb 4ye4 and table s6a', 'figures 1, s6, table s2, s6a and pdb 4ye4', 'figure 1, s6, table s2, s6a and pdb 4ye4', 'figure 1, s6, tables s2, s6a and pdb 4ye4'	4					
2525	s6d	N	'figure s6d', 'figures 1, s6, tables s2, s6d and pdb 4ydl', 'pdb 4ydl and table s6d', 'supplementary figure s6d', 'figure 1, s6, table s2, s6d and pdb 4ydl', 'figures 1, s6, table s2, s6d and pdb 4ydl', 'figure 1, s6, tables s2, s6d and pdb 4ydl'	4					
2526	s6f	N	'figure s6f', 'figures 1, 6, s6, tables s2, s6f and pdb 4yfl', 'pdb 4yfl and table s6f', 'figure 1, 6, s6, table s2, s6f and pdb 4yfl', 'figure 1, 6, s6, tables s2, s6f and pdb 4yfl', 'figures 1, 6, s6, table s2, s6f and pdb 4yfl'	3					
2527	s6l	N	'figure s6l, m, n'	1					
2536	s7b	N	'figure s7b', 'figure s7b,c', 'figures 6b, 7a, s7b, and 8', 'figures s7b, s8', 'supplementary figure s7b', 'figure s7b, s8', 'figure 6b, 7a, s7b, and 8'	5					
2537	s7c	N	'figure s7c', 'figures 2 and s7c', 'figure 2 and s7c'	2					
2538	s7d	N	'figure s7d, figure s8'	1					
2545	table3	N	'figure1,table3', 'figures 2, 3, table 2 and table3', 'table3, figure 1', 'text page-152,table3', 'figure 2, 3, table 2 and table3'	5					
2546	figure2	N	'figure2', 'figure2 1b, 2', 'figure2, supplementary figures 3 and 4, and supplementary table 2', 'supplementary table 1 and figure2', 'figure2, supplementary figure 3 and 4, and supplementary table 2'	4					
2547	figure3	N	'figure3', 'supplementary table 1 and figure3', 'table 2 and figure3', 'table2,figure3', 'text p.1059 and figure3', 'text page.1059 and figure3'	5					
2548	figure4	N	'figure4', 'supplementary table 1 and figure4'	3					
2549	figure5	N	'figure5 c', 'supplementary table 1 and figure5', 'table 2 and figure5'	3					
2550	figure6	N	'figure6,7,8', 'supplementary table 1 and figure6'	2					
2551	figure7	N	'figure7, 9 and 10', 'supplementary table 1 and figure7', 'table 3 and figure7'	3					
2552	figurea	N	'figurea 3 and 4', 'figurea 4, 5'	2					
2553	sc	N	'figurees 1, 2, 3, 4, 5, 6, sa, sb, and sc'	1					
2554	sa	N	'figurees 1, 2, 3, 4, 5, 6, sa, sb, and sc'	1					
2555	sb	N	'figurees 1, 2, 3, 4, 5, 6, sa, sb, and sc'	1					
2556	figurees	N	'figurees 1, 2, 3, 4, 5, 6, sa, sb, and sc'	1					
2558	ad	N	'figures 1 ad 3', 'figures 4 ad 6', 'figures 5 ad 6', 'figure 1 ad 3', 'figure 4 ad 6', 'figure 5 ad 6'	3					
2559	t8	N	'figures 1 and 2 and table t8', 'tables 1 and t8', 'table 1 and t8', 'figure 1 and 2 and table t8'	3					
2567	esm2	N	'figures 1 and esm2', 'figure 1 and esm2'	1					
2572	abd	N	'figures 1, 2 and 4, supplementary figures s2, s3, s4, and s6, abd tables s1 and s3', 'figures 1, 2, 3, 4, abd 5, table ii', 'figures 1b abd 3b', 'figures 5 and 6 abd table 2', 'supplemental figures 1 abd 2', 'table 2 abd figure 3a', 'figure 1, 2, 3, 4, abd 5, table ii', 'figure 1, 2 and 4, supplementary figure s2, s3, s4, and s6, abd table s1 and s3'	6					
2580	datas1	N	'figures 1, 2, 3 4, s1, s2, s3, table 1, datas1', 'supplemental datas1 and s5', 'figure 1, 2, 3 4, s1, s2, s3, table 1, datas1'	2					
2581	datas2	N	'figures 1, 2, 3 4, s1, s2, s3, table 1, datas2', 'figure 1, 2, 3 4, s1, s2, s3, table 1, datas2'	1					
2603	supplementry	N	'figures 1, 2, 3, 4, 5, table 2, supplementry figures 2 and 3, supplementary tables 1 and 2 and 2cmr', 'figure 1, 2, 3, 4, 5, table 2, supplementry figure 2 and 3, supplementary table 1 and 2 and 2cmr', 'figures 1, 2, 3, 4, 5, table 2, supplementry figures 2 and 3, supplementary table 1 and 2 and 2cmr'	1					
2632	2s2	N	'figures 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2', 'figure 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2'	1					
2633	2s4	N	'figures 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2', 'figure 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2'	1					
2634	4s1	N	'figures 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2', 'figures 4, 6, and supplemental figure 4s1', 'figure 4, 6, and supplemental figure 4s1', 'figure 1, 2, 3, 4, s1,2s2, 2s4, 4s1, 4s2'	2					
2674	a3	N	'figures 1, 2, 3, 6, a3', 'figures 1, 2, 3, a2, a3', 'figures 1, 6, a3', 'figures 1, a3', 'supplementary fig s2 a2,a3,b2,c2', 'figure 1, 2, 3, 6, a3', 'figure 1, 2, 3, a2, a3', 'figure 1, 6, a3', 'figure 1, a3', 'supplementary figure s2 a2,a3,b2,c2'	5					
2677	a2	N	'figures 1, 2, 3, a2, a3', 'figures 1, 4, and a2', 'supplementary fig s2 a2,a3,b2,c2', 'figure 1, 2, 3, a2, a3', 'figure 1, 4, and a2', 'supplementary figure s2 a2,a3,b2,c2'	3					
2799	suplementary	N	'figures 1, 2, and 3, tables 1, 2, and 3, supplementary figure 2, and suplementary tables 2 and 3', 'figures 2, 3, 4, and 5 and suplementary figures s5 and s6', 'figures 2a, 3a and suplementary figure 3', 'suplementary figure s1', 'table 1 and suplementary figure 2', 'table 1 and suplementary figure 4'	8					
2962	ngw	N	'figures 1, 3, 4, table 1 and pdb 1 ngw', 'figure 1, 3, 4, table 1 and pdb 1 ngw'	1					
2976	5wm	N	'figures 1, 3, s1, s2, s3, s6, tables s1, s2 and pdb 5wm', 'figure 1, 3, s1, s2, s3, s6, table s1, s2 and pdb 5wm', 'figures 1, 3, s1, s2, s3, s6, table s1, s2 and pdb 5wm'	1					
3048	s3f	N	'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figure 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figures 1, 4, table 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figure 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f'	1					
3065	suuplementary	N	'figures 1, 6 and suuplementary figure 1', 'figure 1, 6 and suuplementary figure 1'	1					
3067	aditional	N	'figures 1, 6, aditional file 1, table 1', 'figure 1, 6, aditional file 1, table 1'	1					
